symbol,closing_price,15day closing_price,trade,value_mn,volume
beximco,27.2,27.9,978,31.466,1123282
beximco,27.4,28,1479,59.595,2112197
beximco,27.4,28.5,1599,56.129,1951203
beximco,27.6,29,3060,123.78,4232526
beximco,27.4,28.5,1254,49.339,1728570
beximco,27.6,28.2,1569,60.639,2130667
beximco,27.7,28.5,1565,65.248,2306463
beximco,27.8,28.3,1646,70.855,2488992
beximco,28.1,28.3,2759,145.231,5089084
beximco,28.8,27.7,1208,45.278,1626764
beximco,28.9,28.1,2661,104.183,3750902
beximco,28.1,26.8,2252,78.858,2946416
beximco,28,26.1,1343,45.924,1750313
beximco,27.6,25.8,1016,38.248,1478417
beximco,27.6,25.9,805,31.048,1193812
beximco,27.9,26.3,749,20.037,760215
beximco,28,26.3,750,19.205,727897
beximco,28.5,26.8,1259,26.61,997368
beximco,29,26.4,1096,26.278,1007593
beximco,28.5,25.8,1158,26.901,1041972
beximco,28.2,26.5,1401,42.094,1580308
beximco,28.5,27,1064,26.414,980432
beximco,28.3,27.3,1387,30.85,1120765
beximco,28.3,27.9,1156,33.682,1199549
beximco,27.7,28.1,1478,42.172,1496825
beximco,28.1,28.5,864,25.154,881050
beximco,26.8,28.6,933,27.3,952156
beximco,26.1,28.5,1066,36.042,1259463
beximco,25.8,28.6,1113,30.455,1056631
beximco,25.9,29.4,1143,36.685,1243396
beximco,26.3,29.6,993,31.204,1048361
beximco,26.3,30.1,1457,58.76,1951550
beximco,26.8,29.7,1183,44.279,1488100
beximco,26.4,29.8,1543,46.483,1557792
beximco,25.8,30.2,949,36.322,1197161
beximco,26.5,30.5,2073,77.472,2510224
beximco,27,30.7,1411,53.088,1741082
beximco,27.3,30.3,1165,35.057,1161925
beximco,27.9,30.1,933,30.883,1023809
beximco,28.1,30.3,893,29.8,981856
beximco,28.5,30.3,1168,31.414,1032721
beximco,28.6,30.7,935,24.844,809140
beximco,28.5,30.8,1076,47.353,1526705
beximco,28.6,30.9,1068,49.714,1601698
beximco,29.4,31.1,1037,47.632,1524253
beximco,29.6,31.4,1666,61.739,1962744
beximco,30.1,31.3,2700,98.288,3179167
beximco,29.7,30.2,1115,42.336,1401593
beximco,29.8,30.5,1559,46.458,1527180
beximco,30.2,30,1483,44.79,1486411
beximco,30.5,29.6,1419,39.738,1335267
